STATEICP,estimated_doctoral,estimate_total,count_doctoral,difference
1,600,37042.70833333333,600,36442.70833333333
2,165,10186.744791666666,165,10021.744791666666
3,2014,124340.02430555555,2014,122326.02430555555
4,244,15064.03472222222,244,14820.03472222222
5,177,10927.598958333332,177,10750.598958333332
6,131,8087.65798611111,131,7956.65798611111
11,152,9384.152777777777,152,9232.152777777777
12,1438,88779.02430555555,1438,87341.02430555555
13,2829,174656.36979166666,2829,171827.36979166666
14,1620,100015.3125,1620,98395.3125
21,1457,89952.04340277777,1457,88495.04340277777
22,620,38277.465277777774,620,37657.465277777774
23,991,61182.20659722222,991,60191.20659722222
24,1213,74888.00868055555,1213,73675.00868055555
25,513,31671.515625,513,31158.515625
31,258,15928.364583333332,258,15670.364583333332
32,321,19817.848958333332,321,19496.848958333332
33,572,35314.04861111111,572,34742.04861111111
34,621,38339.203125,621,37718.203125
35,153,9445.890625,153,9292.890625
36,60,3704.270833333333,60,3644.270833333333
37,71,4383.387152777777,71,4312.387152777777
40,1531,94520.64409722222,1531,92989.64409722222
41,460,28399.409722222223,460,27939.409722222223
42,251,15496.199652777777,251,15245.199652777777
43,2731,168606.06076388888,2731,165875.06076388888
44,1451,89581.61631944444,1451,88130.61631944444
45,450,27782.03125,450,27332.03125
46,263,16237.053819444443,263,15974.053819444443
47,1421,87729.48090277777,1421,86308.48090277777
48,647,39944.387152777774,647,39297.387152777774
49,3216,198548.91666666666,3216,195332.91666666666
51,448,27658.555555555555,448,27210.555555555555
52,1608,99274.45833333333,1608,97666.45833333333
53,281,17348.335069444445,281,17067.335069444445
54,841,51921.52951388888,841,51080.52951388888
56,159,9816.317708333332,159,9657.317708333332
61,896,55317.11111111111,896,54421.11111111111
62,1031,63651.72048611111,1031,62620.72048611111
63,175,10804.123263888889,175,10629.123263888889
64,113,6976.37673611111,113,6863.37673611111
65,282,17410.072916666664,282,17128.072916666664
66,350,21608.246527777777,350,21258.246527777777
67,428,26423.79861111111,428,25995.79861111111
68,72,4445.125,72,4373.125
71,6336,391171,6336,384835
72,647,39944.387152777774,647,39297.387152777774
73,1195,73776.72743055555,1195,72581.72743055555
81,51,3148.630208333333,51,3097.630208333333
82,214,13211.899305555555,214,12997.899305555555
98,311,19200.47048611111,311,18889.47048611111
